mass        radius

19.4        None
10.5        None
4.8        None
4.64        None
1.68        None
10.3        None
14        1.7
14.0        None
1.99        None
0.86        None
7.5        None
30        0.97
5        None
20        0.92
30        1.3
        None
9.88        None
3.88        None
2.53        None
0.54        None
1.64        None
7.1        None
0.468        None
0.8306        None
0.1714        None
3.878        None
0.02561        0.1813
0.141        None
0.016        None
0.0573        None
0.072        None
2.4        None
7.4        None
3.0        None
2.6        None
5.3        None
0.109        None
0.36        None
3.2        None
12        1.55
1.8        None
0.0035546417        None
0.045        None
0.33        None
0.48        None
0.53        None
1.47        None
1.11        None
5.1        None
6.37        None
21.42        None
12.47        None
4.2        None
0.91        None
1.6        None
7.8        None
7        None
6.1        None
6.5        None
5.5        None
12        None
2.75        0.97
2.49        1.39
0.917        1.44
1.308        0.885
7.6        1.09
0.53        1.17
2.45        1.02
3.47        1.31
1.11        1.45
1.03        1.49
4.24        0.84
2.26        1.3
0.0383853003178        0.435365216104
2.8        1.05
        0.33
0.088        0.44
0.27        1.08
0.52        1.26
10.39        1.007
0.484        0.955
0.85        0.90
3.31        1.465
21.66        1.01
0.72        1.19
0.467        1.388
2.96        1.166
0.0151        0.15
0.0264        None
0.22        0.57
0.84        1.05
17        2.2
12        None
6.05        None
None        0.214
None        0.179
None        0.197
None        0.187
None        0.195
None        0.146
None        0.138518
None        0.247
None        0.215
None        0.176
None        0.252
None        0.200
None        0.160
None        0.586
None        0.415
None        0.378
None        0.196
None        1.118
None        0.330
None        0.205
None        0.187
None        0.164
None        0.195
None        0.472
        
None        0.705
None        0.260
None        0.203
None        0.201
None        0.227
None        0.202
None        0.206
6.7        None
1.55        None
7.6        None
2.55        None
3.32        None
None        None
15        None
10        None
1.85        None
8.78        None
0.0321        None
0.026        None
0.020        None
0.101        None
0.0409        None
0.031        None
0.014        None
0.027        None
0.0195        0.2525
0.016829        None
0.033344        None
0.021391        None
0.092484        None
0.0265        None
0.82        None
0.13        None
0.0196        None
3.37        None
1.8        None
2        None
2.3        None
0.076        None
0.07        None
0.027        None
0.02        None
0.04320        0.346
0.022        None
0.0167        None
0.1416        None
0.0727        0.3767
0.0008807961        0.06014599
4        None
0.049702        None
0.017301        None
0.019        None
0.0061        None
0.0220199        None
0.0097516        None
0.328        None
0.030        None
0.017616        None
0.003460        None
0.011954        None
0.008493        None
0.008493        None
0.016043        None
0.014470        None
0.037        None
0.014        None
0.036        None
4.95        None
3.0        None
0.058        None
1.502        None
0.057        None
0.05316        None
0.0754        None
0.688908        None
0.015729        None
0.900        None
0.702        None
4.01        None
2.2756        None
0.7142        None
0.021        None
0.046        None
21.5        1.8
14        None
11        None
0.081        0.452
0.211        0.959
0.85        1.28
14.5        None
2.2        1.2
1.946        1.072
4.193        1.190
0.534        1.01
1.4        None
0.196        0.947
0.292        1.132
0.524        1.217
7.246        0.867
4.063        1.024
2.147        1.08
2.09        1.368
0.685        1.242
0.567        1.19
0.059        0.565
0.62        1.02
0.626        1.212
0.778        1.107
8.74        0.951
0.711        1.340
2.171        1.07
0.941        2.037
0.763        1.827
3.328        1.197
1.054        1.332
1.832        1.264
1.169        1.178
0.267        0.825
0.599        1.571
0.591        0.827
0.615        1.730
0.800        1.685
0.975        1.277
0.660        1.283
0.392        1.28
1.6        None
0.892        1.426
0.493        1.284
2.0        None
1.730        1.413
0.68        1.27
1.350        1.288
0.309        1.293
0.818        1.009
1.484        1.318
0.760        0.944
1.06        1.252
1.057        1.33
1.709        1.4588
1.275        1.321
0.67        1.4
0.526        0.969
0.543        1.212
1.071        1.039
1.855        1.302
1.345        1.168
1.138        1.697
1.323        1.020
0.237        0.912
0.319        0.998
0.837        1.065
17.5        6
None        None
1.7        None
1.16        None
0.0040894108        None
0.04089410        None
0.00597683        None
0.03743383        None
0.078642        None
0.01604307        None
0.0717219        None
0.06920541        None
0.206987        None
0.3        None
0.172        None
0.45        None
5.9        None
2.6        None
5.9        None
0.05        None
0.96        None
0.098        None
0.62        None
0.367        None
0.186        None
2.10        None
6.3        None
7.56        None
11.0        None
0.94        None
9.61        None
11        None
6.38        None
0.21        None
0.261        None
3.5        None
2.6        None
1.36        None
1.018        None
0.77        None
0.054        None
0.076        None
0.28        None
11.09        None
6.8        None
2.83        None
0.36        None
0.93        None
1.24        None
